Pin Group,Number,Name,Type
Gate-B,74,MODT,Undefined
Gate-B,75,MCAS,Undefined
Gate-B,76,MCK_N,Undefined
Gate-B,77,MCK_P,Undefined
Gate-B,78,MCS,Undefined
Gate-B,79,DDR_IO_1V8D_1,Undefined
Gate-B,80,MA0,Undefined
Gate-B,81,MRAS,Undefined
Gate-B,82,MA4,Undefined
Gate-B,83,MA13,Undefined
Gate-B,84,MA8,Undefined
Gate-B,85,MA11,Undefined
Gate-B,86,MA6,Undefined
Gate-B,87,MA2,Undefined
Gate-B,88,MA1,Undefined
Gate-A,89,SOC_CO_V12D_3,Undefined
Gate-B,90,DDR_IO_VREF_1,Undefined
Gate-A,91,SOC_CO_V12D_4,Undefined
Gate-B,92,MA10,Undefined
Gate-B,93,MA5,Undefined
Gate-B,94,MA9,Undefined
Gate-B,95,MA7,Undefined
Gate-B,96,MA12,Undefined
Gate-B,97,MA3,Undefined
Gate-B,98,DDR_IO_1V8D_2,Undefined
Gate-B,99,MBA1,Undefined
Gate-B,100,MBA0,Undefined
Gate-B,101,MBA2,Undefined
Gate-B,102,MWE,Undefined
Gate-B,103,MCKE,Undefined
Gate-B,104,DDR_IO_VREF_2,Undefined
Gate-B,105,MD3,Undefined
Gate-B,106,MD4,Undefined
Gate-B,107,MD1,Undefined
Gate-B,108,MDQM0,Undefined
Gate-B,109,MD6,Undefined
Gate-B,110,MD11,Undefined
Gate-B,111,MD12,Undefined
Gate-B,112,MD9,Undefined
Gate-B,113,MDQS0,Undefined
Gate-B,114,MD14,Undefined
Gate-B,115,DDR_IO_VSS_4,Undefined
Gate-B,116,DDR_IO_1V8D_3,Undefined
Gate-A,117,AVDD33_SMPS,Undefined
Gate-A,118,LXBK_1,Undefined
Gate-A,119,LXBK_2,Undefined
Gate-A,120,AVSS33_SMPS_1,Undefined
Gate-A,121,AVSS33_SMPS_2,Undefined
Gate-A,122,VOUT_FB,Undefined
Gate-A,123,AVDD33_DDRLDO_1,Undefined
Gate-A,124,AVDD33_DDRLDO_2,Undefined
Gate-A,125,DDRLDO,Undefined
Gate-C,126,PCIE_TXN0,Undefined
Gate-C,127,PCIE_TXP0,Undefined
Gate-C,128,PCIE_IO_VSS,Undefined
Gate-C,129,PCIE_RXP0,Undefined
Gate-C,130,PCIE_RXN0,Undefined
Gate-C,131,AVDD12_PCIE,Undefined
Gate-C,132,PCIE_CKN0,Undefined
Gate-C,133,PCIE_CKP0,Undefined
Gate-C,134,AVDD33_PCIE,Undefined
Gate-C,135,PERST_N,Undefined
Gate-F,136,REF_CLKO,Undefined
Gate-F,137,WDT_RST_N,Undefined
Gate-F,138,PORST_N,Undefined
Gate-E,139,EPHY_LED4_N_JTRST_N,Undefined
Gate-E,140,EPHY_LED3_N_JTCLK,Undefined
Gate-E,141,EPHY_LED2_N_JTMS,Undefined
Gate-E,142,EPHY_LED1_N_JTDI,Undefined
Gate-E,143,EPHY_LED0_N_JTDO,Undefined
Gate-F,144,WLED_N,Undefined
Gate-A,145,SOC_CO_V12D_5,Undefined
Gate-A,146,SOC_IO_V33D_2,Undefined
Gate-F,147,TXD1,Undefined
Gate-F,148,RXD1,Undefined
Gate-D,149,AVDD33_WF_RFDIG,Undefined
Gate-D,150,AVDD33_XTA,Undefined
Gate-D,151,XTALIN,Undefined
Gate-D,152,AVSS33_XTAL,Undefined
Gate-D,153,CLKOUTP,Undefined
Gate-D,154,AVDD33_WF_SX,Undefined
Gate-D,155,AVDD33_WF0_TRX,Undefined
Gate-D,156,WF0_LNA_EXT,Undefined
Gate-A,157,EPAD,Undefined
